4.57195e+06	5.79155e+06	902839	4.10500e+06	2.01786e+06	1.05371e+06	7	683490	1.49982e+06	52	2.91835e+06	1.27113e+06	3.15925e+06	1.33955e+06	412428	3.76222e+06	2.64768e+06	771704	1.39156e+06	1.16156e+06	388753	327803	192918	283429	1.27911e+06	687	3.75951e+06	4.33941e+06	2.78434e+06	1.6887e+06	7.09938e+06	2.4549e+06	113	7.35577e+06	382442	418614	1.45571e+06	1.60577e+06	574828	578524	267433	242282	71	1.45412e+06	3.63684e+06	2.48732e+06	754662	28741	592764	287556	41224	516254	953386	157	411617	956413	nan	2.28812e+06	6.09443e+06	710394	2.48104e+06	1.55974e+06	449275	862517	2.08684e+06
6327	3.26964e+06	607192	1.95415e+06	951705	520973	3	323100	1.08824e+06	21	1.82713e+06	387549	1.47865e+06	587121	240565	1.47129e+06	1.57277e+06	398783	741980	581055	219126	166449	100874	77304	689600	144	811261	2.14217e+06	943931	609713	3.52228e+06	1.43695e+06	17	3.79003e+06	192429	189072	986960	769250	295879	266587	118780	1155	39	608152	1.87784e+06	1.3245e+06	345139	18248	285659	139860	18741	155581	539250	71	197420	453903	nan	2269	3.58206e+06	454104	1.24881e+06	772264	70022	455488	1.09654e+06
0.138387	56.4554	67.2536	47.6041	47.1642	49.4416	42.8571	47.2721	72.5579	40.3846	62.6084	30.4886	46.8039	43.8297	58.329	39.107	59.4018	51.6756	53.3198	50.0236	56.3664	50.7771	52.2885	27.2746	53.9124	20.9607	21.5789	49.3654	33.9014	36.1054	49.6139	58.5341	15.0442	51.5246	50.3159	45.1662	67.7994	47.9053	51.4726	46.0805	44.4149	0.476717	54.9296	41.8226	51.634	53.2499	45.7342	63.4912	48.191	48.6375	45.4614	30.1365	56.5616	45.2229	47.9621	47.4589	nan	0.0991646	58.776	63.9228	50.3341	49.5125	15.5856	52.8092	52.5454
20.1006	43.6276	66.2132	45.5807	55.9213	63.2435	100	66.5958	48.6567	100	54.3123	63.7507	48.4683	55.3794	76.3058	50.4821	38.938	68.1027	47.0853	60.4908	66.3972	74.9825	75.7568	84.6874	61.4429	97.5255	43.9964	48.7322	53.4323	62.8707	39.3085	53.7227	96.4602	36.8513	76.1678	71.7461	62.0608	55.9719	72.0032	75.3216	75.4114	53.0903	100	63.5542	43.6525	52.4111	60.8453	84.3203	64.7666	77.0327	90.6911	67.9462	65.4649	100	74.4218	64.7247	nan	28.8509	38.8545	70.8809	51.217	53.9811	68.9257	64.4802	55.3973
0.0149647	0.0144064	0.0126246	0.0153475	0.0130696	0.0182331	0	0.0149732	0.0137323	0.0192308	0.0149357	0.0261008	0.012515	0.0194296	0.0142013	0.0223933	0.0102822	0.013097	0.0232688	0.015044	0.0120115	0.0170667	0.012088	0.0216915	0.0170736	0.0291121	0.00936557	0.0104927	0.0188946	0.012676	0.014462	0.0128518	0.00442478	0.0195819	0.0122032	0.0312197	0.0123153	0.0124837	0.0119131	0.0131974	0.0193002	0.024455	0.0140845	0.0151724	0.0145805	0.0159877	0.0253491	0.0107338	0.0113688	0.0130757	0.0195153	0.0156473	0.0121294	0.00955414	0.0112483	0.0212168	nan	0.0469769	0.0116747	0.0138233	0.012924	0.0182236	0.0146636	0.018602	0.0137452
255	327	349	324	332	328	382.5	314	296	279	312	317	331	314	441	335	333	310	299	310	301	360	309	296	313	222	327	305	320	337	338	330	301.5	331	309	313	326	328	303	315	305	273	324	303	333	322	314	225	337	317	218	319	311	302	313	340	nan	253	340	367	331	310	319	321	310
42	78	86	78	81	76	56.5	78	73	63	77	79	80	77	94	80	81	76	73	78	74	90	78	73	77	60	80	74	77	81	81	81	68	82	75	79	76	75	75	78	72	65.5	55	75	80	76	75	56	83	80	55	78	78	80.5	79	79	nan	41	84	75	80	75	79	78	77
0.612235	0.851884	0.895499	0.8813	0.916564	0.932981	1	0.941119	0.91525	1	0.904124	0.936744	0.899141	0.910192	0.962446	0.848541	0.876036	0.940852	0.888563	0.925243	0.96643	0.953285	0.976245	0.974266	0.944016	0.958333	0.95729	0.88076	0.930112	0.944986	0.860772	0.905824	1	0.841376	0.968319	0.946926	0.899677	0.937486	0.949535	0.971004	0.954679	0.967771	1	0.95415	0.863108	0.891576	0.853967	0.9548	0.942586	0.962781	0.961713	0.970748	0.948583	1	0.949265	0.873585	nan	0.742397	0.854795	0.951892	0.917414	0.91825	0.972685	0.95791	0.922666
0.167879	0.336424	0.595261	0.360322	0.480561	0.567216	1	0.608436	0.400091	1	0.456436	0.652353	0.403858	0.484554	0.688718	0.397361	0.301086	0.63171	0.394011	0.534648	0.592992	0.710205	0.791403	0.808134	0.551784	0.944444	0.712576	0.384007	0.46824	0.554758	0.297293	0.45431	1	0.272578	0.731641	0.656985	0.539312	0.510905	0.677728	0.71337	0.678336	0.63026	1	0.575569	0.332103	0.44047	0.4735	0.800274	0.57082	0.750617	0.895926	0.76109	0.593681	1	0.69145	0.530711	nan	0.255367	0.299931	0.642108	0.428021	0.475397	0.832367	0.573773	0.487003
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.001361	0.603318	0.56888	0.573665	0.551188	0.575866	1	0.612273	0.567844	0.448608	0.636913	0.601737	0.571198	0.587019	0.564435	0.552141	0.60684	0.58036	0.58916	0.586893	0.545216	0.527727	0.62546	0.499959	0.594527	0.553823	0.582968	0.565517	0.564259	0.608521	0.60357	0.598393	0.489962	0.584679	0.614844	0.52287	0.585957	0.621878	0.582877	0.620907	0.581856	0.037964	0.565583	0.571297	0.584816	0.568591	0.409155	0.550083	0.614125	0.575026	0.634794	0.580936	0.598644	0.518273	0.546795	0.486609	nan	0.00222	0.570643	0.607589	0.586265	0.575105	0.562034	0.639616	0.629824
0.998639	0.384541	0.417461	0.417182	0.435611	0.412615	0	0.375783	0.417621	0.551392	0.346286	0.386485	0.421692	0.398574	0.42209	0.436493	0.381024	0.40681	0.393613	0.401499	0.438327	0.464304	0.359336	0.487299	0.392261	0.430842	0.406033	0.426219	0.426548	0.381516	0.385321	0.392439	0.446818	0.401599	0.371679	0.468829	0.402751	0.366514	0.406137	0.366419	0.404092	0.945823	0.434417	0.415651	0.406615	0.418984	0.584205	0.435001	0.372271	0.410097	0.347529	0.406134	0.390175	0.452094	0.443254	0.504848	nan	0.99778	0.418801	0.380054	0.402797	0.411434	0.427248	0.34568	0.357969
