#This file maps mm10's rsem gene IDs to gene symbols
#Allon, July 2015
#Gene RSEM ID	Gene Sybmol	Biotype
gene15381	Smco2	protein_coding
gene15382	Ppfibp1	protein_coding
gene15383	1700034J05Rik	protein_coding
gene15384	LOC102639604	N/A
gene15385	Rep15	protein_coding
gene15386	Mrps35	protein_coding
gene15387	Mansc4	protein_coding
gene15388	Klhl42	protein_coding
gene15389	LOC102639725	N/A
gene1539	Zbed6	protein_coding
gene15391	E330012B07Rik	lincRNA
gene15392	LOC102639797	N/A
gene15393	Pthlh	protein_coding
gene15395	Gm6288	antisense
gene15396	Ccdc91	protein_coding
gene15397	LOC102640090	N/A
gene15398	1700049E15Rik	lincRNA
gene15399	Gm15762	lincRNA
gene154	Crisp4	protein_coding
gene1540	Lax1	protein_coding
gene15400	LOC102640272	N/A
gene15401	Far2	protein_coding
gene15402	LOC102640340	N/A
gene15403	Ergic2	protein_coding
gene15404	4732416N19Rik	N/A
gene15405	LOC102640513	N/A
gene15406	Tmtc1	protein_coding
gene15407	Rps4l	protein_coding
gene15408	LOC102640413	N/A
gene15409	LOC102640583	N/A
gene1541	Atp2b4	protein_coding
gene15410	Gm6313	lincRNA
gene15411	4930528G23Rik	lincRNA
gene15413	Ipo8	protein_coding
gene15414	Caprin2	protein_coding
gene15415	LOC102640776	N/A
gene15416	Gm7618	processed_pseudogene
gene15417	Fam60a	protein_coding
gene15418	LOC102640958	N/A
gene15419	3010003L21Rik	lincRNA
gene1542	Mir6903	miRNA
gene15420	Dennd5b	protein_coding
gene15422	Mettl20	protein_coding
gene15423	Amn1	protein_coding
gene15424	2810474O19Rik	protein_coding
gene15425	Gm15784	processed_pseudogene
gene15428	Bicd1	protein_coding
gene15429	Gm15785	processed_pseudogene
gene1543	LOC102633688	N/A
gene15432	Gm7353	protein_coding
gene15433	Speer9-ps1	N/A
gene15434	LOC101055669	N/A
gene15435	AU018091	protein_coding
gene15436	Gm3375	N/A
gene15437	Nlrp12	protein_coding
gene15438	Mir290	N/A
gene15439	Mir290b	N/A
gene1544	LOC102633768	N/A
gene15440	D7Ertd143e	N/A
gene15441	Mir291a	miRNA
gene15442	Mir292	miRNA
gene15443	Mir292b	N/A
gene15444	Mir291b	miRNA
gene15445	Mir293	miRNA
gene15446	Mir294	miRNA
gene15447	Mir295	miRNA
gene1545	Optc	protein_coding
gene15450	Myadm	protein_coding
gene15451	Prkcg	protein_coding
gene15452	Cacng7	protein_coding
gene15453	Gm9567	N/A
gene15454	Cacng8	protein_coding
gene15455	3300002P13Rik	N/A
gene15456	Cacng6	protein_coding
gene15457	LOC102638484	N/A
gene15458	LOC102638373	N/A
gene15459	Tarm1	protein_coding
gene1546	Prelp	protein_coding
gene15460	Oscar	protein_coding
gene15461	Ndufa3	protein_coding
gene15462	Tfpt	protein_coding
gene15463	Prpf31	protein_coding
gene15464	LOC102638607	N/A
gene15465	LOC102635285	N/A
gene15466	Cnot3	protein_coding
gene15467	Mir3572	miRNA
gene15468	Leng1	protein_coding
gene15469	Tmc4	protein_coding
gene1547	LOC102633846	N/A
gene15470	Mboat7	protein_coding
gene15471	Tsen34	protein_coding
gene15472	Rps9	protein_coding
gene15473	Pirb	protein_coding
gene15474	Pira1	N/A
gene15475	LOC102635399	N/A
gene15476	LOC101055673	N/A
gene15477	Gm15925	unprocessed_pseudogene
gene15478	Gm15448	protein_coding
gene15479	Pira2	protein_coding
gene1548	LOC102633923	N/A
gene15480	Gm10693	unprocessed_pseudogene
gene15481	Gm14548	protein_coding
gene15482	Lilra6	protein_coding
gene15483	Gm3189	N/A
gene15484	Gm7363	processed_pseudogene
gene15485	LOC102639554	N/A
gene15486	Lair1	protein_coding
gene15487	9430041J12Rik	pseudogene
gene15488	Ttyh1	protein_coding
gene15489	D030047H15Rik	processed_transcript
gene15490	Leng8	protein_coding
gene15491	Leng9	protein_coding
gene15492	Cdc42ep5	N/A
gene15494	LOC102635713	N/A
gene15495	LOC102634959	N/A
gene15496	Lilra5	protein_coding
gene15497	LOC102639623	N/A
gene15498	Pira6	N/A
gene15499	Ncr1	protein_coding
gene155	Defb44-ps	unprocessed_pseudogene
gene1550	Fmod	protein_coding
gene15500	Gp6	protein_coding
gene15501	Atp6v0c-ps1	N/A
gene15502	Rdh13	protein_coding
gene15503	Eps8l1	protein_coding
gene15504	D630041G03Rik	N/A
gene15505	Ppp1r12c	protein_coding
gene15506	Tnnt1	protein_coding
gene15507	Tnni3	protein_coding
gene15508	Dnaaf3	protein_coding
gene15509	Syt5	protein_coding
gene1551	Btg2	protein_coding
gene15510	Ptprh	protein_coding
gene15511	Gm9463	N/A
gene15513	Tmem86b	protein_coding
gene15514	Ppp6r1	protein_coding
gene15515	Gm6855	N/A
gene15516	Hspbp1	protein_coding
gene15517	LOC102639853	N/A
gene15518	Brsk1	protein_coding
gene15519	Tmem150b	protein_coding
gene1552	LOC102634378	N/A
gene15520	Suv420h2	protein_coding
gene15521	Cox6b2	protein_coding
gene15522	Fam71e2	protein_coding
gene15523	Il11	protein_coding
gene15524	Tmem190	protein_coding
gene15525	Tmem238	protein_coding
gene15526	Rpl28	protein_coding
gene15527	Ube2s	protein_coding
gene15528	Shisa7	protein_coding
gene15529	LOC102639929	N/A
gene1553	LOC102634461	N/A
gene15530	Isoc2b	protein_coding
gene15531	Isoc2a	protein_coding
gene15532	LOC102640043	N/A
gene15533	Gm5320	N/A
gene15534	Zfp628	protein_coding
gene15535	Nat14	protein_coding
gene15536	Ssc5d	protein_coding
gene15537	Sbk2	protein_coding
gene15538	Sbk3	protein_coding
gene15539	Zfp579	protein_coding
gene1554	Gm8618	processed_pseudogene
gene15540	Fiz1	protein_coding
gene15541	Zfp524	protein_coding
gene15542	Zfp865	protein_coding
gene15543	Zfp784	protein_coding
gene15544	LOC102640192	N/A
gene15545	Zfp580	protein_coding
gene15546	Ccdc106	protein_coding
gene15547	U2af2	protein_coding
gene15548	Epn1	protein_coding
gene15549	Rfpl4	protein_coding
gene1555	Chit1	protein_coding
gene15550	Rasl2-9	protein_coding
gene15551	Gm7505	N/A
gene15552	Vmn1r55	protein_coding
gene15553	Vmn1r56	protein_coding
gene15554	Vmn1r57	protein_coding
gene15555	Nlrp2	protein_coding
gene15556	Gm18757	N/A
gene15557	Gm5065	protein_coding
gene15558	Vmn1r58	protein_coding
gene1556	Chil1	protein_coding
gene15560	Vmn1r59	protein_coding
gene15562	Vmn2r28	protein_coding
gene15563	Vmn1r60	protein_coding
gene15565	Vmn1r61	protein_coding
gene15568	Vmn1r62	protein_coding
gene1557	Mybph	protein_coding
gene15572	Vmn1r63	protein_coding
gene15574	Vmn1r64	protein_coding
gene15577	Vmn1r65	protein_coding
gene15578	Gm5321	processed_pseudogene
gene1558	Adora1	protein_coding
gene15581	Nlrp4c	protein_coding
gene15583	Zfp787	protein_coding
gene15584	LOC102640259	N/A
gene15585	Zfp444	protein_coding
gene15586	Galp	protein_coding
gene15587	Zscan5b	protein_coding
gene15588	Gm6792	protein_coding
gene15589	Zfp667	protein_coding
gene1559	LOC102634698	N/A
gene15590	Zfp583	protein_coding
gene15592	Zfp78	protein_coding
gene15593	Zfp28	protein_coding
gene15594	LOC102640325	N/A
gene15595	Gm16532	N/A
gene15596	Olfr1344	protein_coding
gene15598	Olfr1336	protein_coding
gene15599	Olfr1346	protein_coding
gene156	Defb18	protein_coding
gene1560	Myog	protein_coding
gene15600	Olfr5	protein_coding
gene15601	Olfr1347	protein_coding
gene15602	Olfr1348	protein_coding
gene15603	Olfr1349	protein_coding
gene15604	Gm7587	N/A
gene15605	Olfr1350	protein_coding
gene15606	Zim2	N/A
gene15607	Zim1	protein_coding
gene15608	Peg3	protein_coding
gene15609	Peg3os	N/A
gene1561	Ppfia4	protein_coding
gene15610	Usp29	protein_coding
gene15611	Gm6814	N/A
gene15612	Mir3099	miRNA
gene15613	Zim3	N/A
gene15614	LOC101055709	N/A
gene15615	Aurkc	protein_coding
gene15617	Gm6828	N/A
gene15619	Zfp954	protein_coding
gene1562	LOC102634762	N/A
gene15620	Zfp773	protein_coding
gene15622	Zfp418	protein_coding
gene15623	Zfp772	protein_coding
gene15624	Vmn2r29	protein_coding
gene15626	Clcn4-2	protein_coding
gene15627	Mir5620	miRNA
gene15628	Vmn2r30	protein_coding
gene15629	Gm3912	processed_transcript
gene1563	Tmem183a	protein_coding
gene15630	Vmn2r31	protein_coding
gene15631	Vmn2r-ps36	unprocessed_pseudogene
gene15632	Vmn2r32	protein_coding
gene15634	Gm6842	N/A
gene15635	Vmn2r33	protein_coding
gene15639	Vmn2r34	protein_coding
gene1564	4933406M09Rik	protein_coding
gene15640	Vmn2r-ps38	unprocessed_pseudogene
gene15642	Vmn2r35	protein_coding
gene15643	Vmn2r-ps40	unprocessed_pseudogene
gene15644	Vmn2r36	protein_coding
gene15646	Gm3978	unprocessed_pseudogene
gene15648	Gm4073	unprocessed_pseudogene
gene1565	Cyb5r1	protein_coding
gene15650	2810047C21Rik1	unprocessed_pseudogene
gene15651	Gm3665	unprocessed_pseudogene
gene15652	Vmn2r41	protein_coding
gene15653	Vmn2r42	protein_coding
gene15654	LOC102631555	N/A
gene15655	Vmn2r43	protein_coding
gene15656	LOC102640982	N/A
gene15657	Vmn2r-ps45	unprocessed_pseudogene
gene15658	Gm7696	unprocessed_pseudogene
gene15659	LOC102631732	N/A
gene1566	Adipor1	protein_coding
gene15660	Vmn2r44	protein_coding
gene15661	Vmn2r-ps46	unprocessed_pseudogene
gene15663	Vmn2r45	protein_coding
gene15664	Vmn2r-ps47	unprocessed_pseudogene
gene15667	Gm3584	unprocessed_pseudogene
gene1567	Klhl12	protein_coding
gene15670	Gm3962	unprocessed_pseudogene
gene15672	LOC102632013	N/A
gene15674	LOC102632136	N/A
gene15675	Vmn2r-ps43	unprocessed_pseudogene
gene15676	Vmn2r40	protein_coding
gene15677	LOC102636026	N/A
gene15678	Vmn2r-ps42	unprocessed_pseudogene
gene15679	Vmn2r39	protein_coding
gene1568	Rabif	protein_coding
gene15680	Vmn2r38	protein_coding
gene15684	Vmn2r37	protein_coding
gene15685	Gm4011	unprocessed_pseudogene
gene15686	Gm3623	unprocessed_pseudogene
gene15687	Gm3616	unprocessed_pseudogene
gene15688	Gm20287	unprocessed_pseudogene
gene1569	LOC100503055	N/A
gene15690	Gm3972	unprocessed_pseudogene
gene15692	LOC102632320	N/A
gene15693	Gm10302	protein_coding
gene15694	Gm3683	unprocessed_pseudogene
gene15695	Gm20345	unprocessed_pseudogene
gene15698	Vmn2r46	protein_coding
gene157	Defb41	N/A
gene1570	LOC102634941	N/A
gene15700	LOC102632398	N/A
gene15701	Vmn2r47	protein_coding
gene15702	LOC102632480	N/A
gene15703	Vmn2r-ps51	unprocessed_pseudogene
gene15706	Vmn2r48	protein_coding
gene15708	Vmn2r49	protein_coding
gene15709	Vmn2r50	protein_coding
gene1571	LOC102634868	N/A
gene15711	Vmn2r51	protein_coding
gene15712	Vmn2r52	protein_coding
gene15714	Vmn1r66	protein_coding
gene15716	Vmn1r-ps48	unprocessed_pseudogene
gene15717	Nlrp4d	transcribed_unprocessed_pseudogene
gene15718	Gm3726	N/A
gene15719	Vmn1r67	protein_coding
gene1572	4931440L10Rik	N/A
gene15720	LOC102632618	N/A
gene15721	Zik1	protein_coding
gene15723	Vmn1r68	protein_coding
gene15725	Vmn1r69	protein_coding
gene15727	Vmn1r70	protein_coding
gene1573	LOC102635147	N/A
gene15731	Nlrp4b	protein_coding
gene15732	Gm5130	N/A
gene15733	Vmn1r71	protein_coding
gene15734	Zscan4a	N/A
gene15736	Gm7203	N/A
gene15737	Gm4903	N/A
gene15738	Gm7836	N/A
gene1574	LOC102635221	N/A
gene15740	Zscan4b	protein_coding
gene15741	Mir297-1	miRNA
gene15742	Gm7786	N/A
gene15743	Gm7789	N/A
gene15745	Zscan4c	protein_coding
gene15746	Zscan4-ps1	N/A
gene15747	LOC102636574	N/A
gene15748	Gm7151	N/A
gene15749	Gm4157	N/A
gene1575	Kdm5b	protein_coding
gene15750	Gm3774	N/A
gene15752	Gm6909	N/A
gene15753	Zscan4d	protein_coding
gene15755	Gm9689	N/A
gene15756	Gm5996	N/A
gene15757	Gm9652	N/A
gene15759	Zscan4e	unprocessed_pseudogene
gene1576	Syt2	protein_coding
gene15760	Gm7829	N/A
gene15762	Zscan4f	protein_coding
gene15764	Gm9604	N/A
gene15765	Gm7839	N/A
gene15766	Gm7207	N/A
gene15767	Gm9653	N/A
gene15769	Zscan4-ps2	N/A
gene1577	Ppp1r12b	protein_coding
gene15771	Gm3816	N/A
gene15772	Gm7848	N/A
gene15774	LOC102637918	N/A
gene15775	Zscan4-ps3	N/A
gene15778	Vmn1r72	protein_coding
gene1578	LOC102635293	N/A
gene15781	Vmn1r73	protein_coding
gene15783	Gm6929	N/A
gene15784	Vmn1r74	protein_coding
gene15786	LOC102638145	N/A
gene15787	Vmn1r75	protein_coding
gene1579	Ube2t	protein_coding
gene15791	Vmn1r76	protein_coding
gene158	Gm15386	protein_coding
gene1580	Lgr6	protein_coding
gene15801	Vmn1r77	protein_coding
gene15802	Gm10179	pseudogene
gene15806	Vmn1r78	protein_coding
gene15807	Vmn1r79	protein_coding
gene15809	Vmn1r80	protein_coding
gene1581	Ptprv	processed_transcript
gene15811	Vmn1r-ps65	unprocessed_pseudogene
gene15812	Gm4224	N/A
gene15813	Vmn1r81	protein_coding
gene15814	Vmn1r82	protein_coding
gene15815	Vmn1r83	protein_coding
gene15816	Vmn1r84	protein_coding
gene1582	Ptpn7	protein_coding
gene15820	Zfp551	protein_coding
gene15821	Vmn2r-ps53	unprocessed_pseudogene
gene15822	Zfp606	protein_coding
gene15823	2900092C05Rik	protein_coding
gene15825	Vmn2r53	protein_coding
gene15827	Vmn2r54	protein_coding
gene15828	Vmn2r55	protein_coding
gene15829	Vmn2r56	protein_coding
gene1583	Arl8a	protein_coding
gene15830	Gm6946	processed_pseudogene
gene15832	Zscan18	protein_coding
gene15833	LOC102633596	N/A
gene15835	Zfp329	protein_coding
gene15836	Zfp110	protein_coding
gene15837	LOC102633291	N/A
gene15838	Zfp128	protein_coding
gene15839	Zscan22	protein_coding
gene1584	Gpr37l1	protein_coding
gene15840	Rps5	protein_coding
gene15841	2310014L17Rik	protein_coding
gene15842	1810019N24Rik	lincRNA
gene15843	LOC102633720	N/A
gene15844	Zfp324	protein_coding
gene15845	Zfp446	protein_coding
gene15846	Slc27a5	protein_coding
gene15847	Zbtb45	protein_coding
gene15848	LOC102633951	N/A
gene15849	Trim28	protein_coding
gene1585	Gm4204	processed_pseudogene
gene15850	Chmp2a	protein_coding
gene15851	Ube2m	protein_coding
gene15852	Mzf1	protein_coding
gene15853	Vmn1r85	protein_coding
gene15854	LOC102638260	N/A
gene15855	Gm4270	N/A
gene15856	Vmn1r86	protein_coding
gene15857	Vmn1r87	protein_coding
gene15858	Gm7965	N/A
gene15859	Vmn1r88	protein_coding
gene1586	Elf3	protein_coding
gene15861	LOC102634177	N/A
gene15862	Vmn1r89	protein_coding
gene15864	6330408A02Rik	protein_coding
gene15865	Lig1	protein_coding
gene15866	Pla2g4c	protein_coding
gene15867	Gm10712	processed_pseudogene
gene15868	Gm7989	N/A
gene15869	Cabp5	protein_coding
gene1587	Rnpep	protein_coding
gene15870	Gm7994	N/A
gene15871	Bsph1	protein_coding
gene15872	Bsph2	protein_coding
gene15873	Sult2a5	protein_coding
gene15876	LOC101055841	N/A
gene15877	Sult2a2	protein_coding
gene15879	Sult2a1	protein_coding
gene1588	LOC102635410	N/A
gene15882	LOC102638485	N/A
gene15883	Sult2a4	protein_coding
gene15885	LOC102638608	N/A
gene15886	Sult2a3	protein_coding
gene15887	Sult2a6	protein_coding
gene1589	Timm17a	protein_coding
gene15890	Gm19255	unprocessed_pseudogene
gene15891	2810007J24Rik	protein_coding
gene15892	Sult2a7	protein_coding
gene15893	Nlrp5-ps	transcribed_unprocessed_pseudogene
gene15894	Vmn1r90	protein_coding
gene15896	Gm4745	protein_coding
gene15897	Gm8057	unprocessed_pseudogene
gene15899	Gm8040	unprocessed_pseudogene
gene1590	Lmod1	protein_coding
gene15900	Gm8064	unprocessed_pseudogene
gene15903	Gm8072	unprocessed_pseudogene
gene1591	Shisa4	protein_coding
gene15918	Gm8053	unprocessed_pseudogene
gene15919	Obox2	protein_coding
gene1592	Ipo9	protein_coding
gene15923	Gm5889	unprocessed_pseudogene
gene15925	Obox1	protein_coding
gene15927	Obox3	protein_coding
gene15929	Obox5	protein_coding
gene1593	Nav1	protein_coding
gene15930	LOC100862151	N/A
gene15931	Obox6	protein_coding
gene15932	Crx	protein_coding
gene15933	Crxos	protein_coding
gene15935	Sepw1	protein_coding
gene15936	Gltscr2	protein_coding
gene15937	Snord23	snoRNA
gene15938	LOC102634407	N/A
gene15939	Ehd2	protein_coding
gene1594	Mir1231	miRNA
gene15940	Gltscr1	protein_coding
gene15941	LOC102634487	N/A
gene15942	LOC102638823	N/A
gene15943	Zfp541	protein_coding
gene15944	Napa	protein_coding
gene15945	Kptn	protein_coding
gene15946	Slc8a2	protein_coding
gene15947	Meis3	protein_coding
gene15948	Dhx34	protein_coding
gene15949	C5ar2	protein_coding
gene1595	LOC102635656	N/A
gene15950	C5ar1	protein_coding
gene15951	Prr24	N/A
gene15952	Ccdc9	protein_coding
gene15953	Bbc3	protein_coding
gene15954	Sae1	protein_coding
gene15955	Zc3h4	protein_coding
gene15956	Tmem160	protein_coding
gene15957	Npas1	protein_coding
gene15958	Grlf1	N/A
gene15959	Gm17826	processed_pseudogene
gene1596	Gm4793	antisense
gene15961	LOC102639155	N/A
gene15962	LOC102634559	N/A
gene15963	LOC101055808	N/A
gene15964	Ceacam-ps1	N/A
gene15965	Ceacam15	protein_coding
gene15966	Gm8209	N/A
gene15967	Gm5586	N/A
gene15968	Ceacam9	protein_coding
gene15969	Ap2s1	protein_coding
gene1597	LOC102635523	N/A
gene15970	Slc1a5	protein_coding
gene15971	Fkrp	protein_coding
gene15972	Strn4	protein_coding
gene15973	Prkd2	protein_coding
gene15974	9330104G04Rik	lincRNA
gene15975	Dact3	protein_coding
gene15976	Gng8	protein_coding
gene15977	Ptgir	protein_coding
gene15978	Calm3	protein_coding
gene15979	LOC102635240	N/A
gene1598	LOC102635926	N/A
gene15980	Pnmal2	protein_coding
gene15981	Pnmal1	protein_coding
gene15982	Ccdc8	protein_coding
gene15983	Ppp5c	protein_coding
gene15984	Hif3a	protein_coding
gene15985	Psg16	protein_coding
gene15986	LOC102639368	N/A
gene15987	LOC102635318	N/A
gene15989	Ceacam3	protein_coding
gene1599	Csrp1	protein_coding
gene15990	Psg29	protein_coding
gene15991	LOC102635433	N/A
gene15992	LOC102635819	N/A
gene15993	LOC102635754	N/A
gene15994	LOC102635647	N/A
gene15995	LOC102635538	N/A
gene15996	LOC102635886	N/A
gene15998	Gm9519	N/A
gene15999	Psg-ps1	N/A
gene16	Gm6123	processed_pseudogene
gene1600	Phlda3	protein_coding
gene16000	Ceacam5	protein_coding
gene16001	Gm6065	processed_pseudogene
gene16002	Ceacam14	protein_coding
gene16003	Gm5155	protein_coding
gene16004	Ceacam11	protein_coding
gene16006	Ceacam13	protein_coding
gene16008	Ceacam12	protein_coding
gene16009	Igfl3	protein_coding
gene1601	Tnni1	protein_coding
gene16010	Gm9521	N/A
gene16011	Mill1	protein_coding
gene16012	LOC102636608	N/A
gene16013	Psg18	protein_coding
gene16014	Gm5997	N/A
gene16015	Psg28	protein_coding
gene16016	Gm8314	N/A
gene16017	Psg26	protein_coding
gene16018	Gm4880	N/A
gene16019	Psg25	protein_coding
gene1602	Lad1	protein_coding
gene16020	Psg27	protein_coding
gene16022	Psg23	protein_coding
gene16024	Psg21	protein_coding
gene16025	Psg20	protein_coding
gene16026	LOC102639479	N/A
gene16027	Psg22	protein_coding
gene16028	Sycp1-ps1	N/A
gene16029	Psg19	protein_coding
gene1603	Tnnt2	protein_coding
gene16031	Psg17	protein_coding
gene16032	LOC102639591	N/A
gene16033	LOC102639697	N/A
gene16034	LOC102639822	N/A
gene16036	Mill2	protein_coding
gene16037	Pglyrp1	protein_coding
gene16038	Ccdc61	protein_coding
gene16039	Nova2	protein_coding
gene1604	Pkp1	protein_coding
gene16040	Nanos2	protein_coding
gene16041	Mypop	protein_coding
gene16042	LOC102636709	N/A
gene16043	Irf2bp1	protein_coding
gene16044	Foxa3	protein_coding
gene16045	Sympk	protein_coding
gene16046	Rsph6a	protein_coding
gene16047	Dmwd	protein_coding
gene16048	Dmpk	protein_coding
gene16049	Mir3100	miRNA
gene1605	Igfn1	protein_coding
gene16050	Six5	protein_coding
gene16051	Gm4969	protein_coding
gene16052	Fbxo46	protein_coding
gene16053	Qpctl	protein_coding
gene16054	Snrpd2	protein_coding
gene16055	Gipr	protein_coding
gene16056	Eml2	protein_coding
gene16057	Mir330	miRNA
gene16058	Gpr4	protein_coding
gene16059	Opa3	protein_coding
gene1606	Tmem9	protein_coding
gene16060	LOC102637572	N/A
gene16061	Vasp	protein_coding
gene16062	Ppm1n	protein_coding
gene16063	Rtn2	protein_coding
gene16064	n-Ts2	N/A
gene16065	Fosb	protein_coding
gene16066	LOC102637687	N/A
gene16067	Ercc1	protein_coding
gene16068	Cd3eap	protein_coding
gene16069	Ppp1r13l	protein_coding
gene1607	Ascl5	protein_coding
gene16070	Ercc2	protein_coding
gene16071	Mir343	miRNA
gene16072	Klc3	protein_coding
gene16073	Ckm	protein_coding
gene16074	A930016O22Rik	protein_coding
gene16075	Mark4	protein_coding
gene16076	Exoc3l2	protein_coding
gene16077	Bloc1s3	protein_coding
gene16078	Trappc6a	protein_coding
gene16079	Nkpd1	protein_coding
gene1608	Cacna1s	protein_coding
gene16080	Ppp1r37	protein_coding
gene16081	Gemin7	protein_coding
gene16082	Zfp296	protein_coding
gene16083	Clasrp	protein_coding
gene16084	Relb	protein_coding
gene16085	Clptm1	protein_coding
gene16086	Apoc2	protein_coding
gene16087	LOC102637982	N/A
gene16088	Apoc4	protein_coding
gene16089	Apoc1	protein_coding
gene1609	Gm15850	processed_transcript
gene16090	Apoe	protein_coding
gene16091	Tomm40	protein_coding
gene16092	Pvrl2	protein_coding
gene16093	LOC102638223	N/A
gene16094	LOC102638099	N/A
gene16095	Bcam	protein_coding
gene16096	Cblc	protein_coding
gene16097	Bcl3	protein_coding
gene16098	LOC102638408	N/A
gene16099	LOC102638293	N/A
gene161	LOC102635013	N/A
gene1610	Kif21b	protein_coding
gene16100	Gm19345	protein_coding
gene16101	Ceacam16	protein_coding
gene16102	Ceacam19	protein_coding
gene16103	Pvr	protein_coding
gene16105	Igsf23	protein_coding
gene16106	Rpl7a-ps8	protein_coding
gene16107	Ceacam20	protein_coding
gene16108	Nlrp9b	protein_coding
gene16109	Gm8432	N/A
gene1611	Mroh3	protein_coding
gene16111	Vmn1r91	protein_coding
gene16112	Gm16442	protein_coding
gene16113	Vmn1r93	protein_coding
gene16114	Vmn1r94	protein_coding
gene16115	Vmn1r95	protein_coding
gene16116	Gm6164	protein_coding
gene16117	Gm4498	protein_coding
gene16119	Gm5890	N/A
gene1612	5730559C18Rik	protein_coding
gene16122	Gm4133	protein_coding
gene16123	Vmn1r-ps79	unprocessed_pseudogene
gene16124	Gm5728	protein_coding
gene16125	Vmn1r100	protein_coding
gene16126	Vmn1r101	protein_coding
gene16127	Gm10670	protein_coding
gene16128	LOC102638713	N/A
gene16129	Vmn1r103	protein_coding
gene1613	Gm3878	N/A
gene16130	Vmn1r104	protein_coding
gene16131	Gm5726	protein_coding
gene16132	Gm4141	protein_coding
gene16134	LOC101055864	N/A
gene16137	Vmn1r107	protein_coding
gene16139	Vmn1r111	protein_coding
gene1614	Gpr25	protein_coding
gene16141	Gm10668	protein_coding
gene16143	Vmn1r112	protein_coding
gene16144	Vmn1r113	protein_coding
gene16145	Vmn1r114	protein_coding
gene16146	Vmn1r115	protein_coding
gene16147	Vmn1r116	protein_coding
gene16148	Vmn1r117	protein_coding
gene16149	Vmn1r118	protein_coding
gene1615	Camsap2	protein_coding
gene16151	Gm4526	unprocessed_pseudogene
gene16154	Vmn1r119	protein_coding
gene16156	Vmn1r120	protein_coding
gene16158	Vmn1r121	protein_coding
gene16159	Vmn1r122	protein_coding
gene1616	9230116N13Rik	processed_transcript
gene16160	Vmn1r123	protein_coding
gene16162	Gm5157	protein_coding
gene16165	Vmn1r124	protein_coding
gene16166	Vmn1r125	protein_coding
gene16167	Vmn1r126	protein_coding
gene16168	Vmn1r127	protein_coding
gene16169	Vmn1r128	protein_coding
gene1617	Ddx59	protein_coding
gene16170	Vmn1r129	protein_coding
gene16173	Gm6882	unprocessed_pseudogene
gene16175	Gm4541	N/A
gene16176	Vmn1r130	protein_coding
gene16178	Vmn1r131	protein_coding
gene1618	Kif14	protein_coding
gene16180	Gm4545	unprocessed_pseudogene
gene16182	Vmn1r132	protein_coding
gene16183	Gm8600	unprocessed_pseudogene
gene16186	Gm4175	protein_coding
gene16187	Gm4177	protein_coding
gene16188	Vmn1r135	protein_coding
gene16189	Gm5725	protein_coding
gene1619	LOC102634617	N/A
gene16192	Gm5891	protein_coding
gene16194	Gm16443	N/A
gene16195	Vmn1r137	protein_coding
gene16197	Vmn1r138	protein_coding
gene16199	Gm6176	protein_coding
gene162	Tfap2d	protein_coding
gene1620	LOC102634727	N/A
gene16201	Vmn1r139	protein_coding
gene16202	Gm16451	protein_coding
gene16203	Gm10666	protein_coding
gene16204	Vmn1r142	protein_coding
gene16205	Vmn1r143	protein_coding
gene16206	Gm8653	protein_coding
gene16207	Gm8453	protein_coding
gene16209	Gm4557	unprocessed_pseudogene
gene1621	LOC102637095	N/A
gene16212	Gm4187	protein_coding
gene16213	Vmn1r-ps70	unprocessed_pseudogene
gene16214	Gm8660	protein_coding
gene16215	Vmn1r148	protein_coding
gene16216	Vmn1r149	protein_coding
gene16217	Gm10665	protein_coding
gene16218	Vmn1r151	protein_coding
gene16219	Vmn1r152	protein_coding
gene1622	Zfp281	protein_coding
gene16220	Gm8677	protein_coding
gene16221	Gm4201	protein_coding
gene16223	Gm4565	protein_coding
gene16226	Vmn1r155	protein_coding
gene16228	Gm8693	protein_coding
gene1623	LOC102637177	N/A
gene16230	Gm4567	protein_coding
gene16232	Vmn1r157	protein_coding
gene16233	Vmn1r158	protein_coding
gene16235	Vmn1r159	protein_coding
gene16236	Vmn1r160	protein_coding
gene16237	Gm19900	N/A
gene16238	Gm8708	unprocessed_pseudogene
gene1624	Gm19705	lincRNA
gene16241	Gm4214	protein_coding
gene16242	Gm4216	protein_coding
gene16243	Vmn1r163	protein_coding
gene16244	Gm8720	protein_coding
gene16247	Gm10662	protein_coding
gene1625	Gm16880	lincRNA
gene16250	Vmn1r165	protein_coding
gene16252	Vmn1r166	protein_coding
gene16254	Gm6902	protein_coding
gene16256	Nlrp4e	protein_coding
gene16257	Krt8-ps	N/A
gene16258	Nlrp5	protein_coding
gene1626	Gm8762	processed_pseudogene
gene16261	Vmn1r-ps84	unprocessed_pseudogene
gene16262	Vmn1r167	protein_coding
gene16265	Vmn1r168	protein_coding
gene16266	Vmn1r169	protein_coding
gene16267	Vmn1r170	protein_coding
gene16268	Vmn1r171	protein_coding
gene16269	Vmn1r172	protein_coding
gene16270	Vmn1r173	protein_coding
gene16271	Vmn1r174	protein_coding
gene16273	Gm17780	N/A
gene16274	Vmn1r175	protein_coding
gene16275	Vmn1r176	protein_coding
gene16276	Vmn1r177	protein_coding
gene16278	Vmn1r178	protein_coding
gene16279	Vmn1r179	protein_coding
gene1628	Gm17781	processed_pseudogene
gene16280	Gm10175	protein_coding
gene16281	Vmn1r180	protein_coding
gene16282	Gm5324	N/A
gene16283	Vmn1r181	protein_coding
